00 Timothy Davis	WR	5-8	160	Fr.	Milwaukee, Wis.	Milwaukee Academy of Science	
00 Jay Hardy	WR	6-3	192	Fr.	Henderson, Nev.	Lake Mead Christian HS	
00 Parkees Harris	RB	5-10	180	Fr.	Tarpon Springs, Fla.	Tarpon Springs HS	
00 Latrell Herrington	WR	5-10	160	Fr.	Racine, Wis.	Case HS	
00 Jeff Isotalo-McGuire	K	6-2	195	Sr.	Phoenix, Ariz.	Pinnacle HS	UW-Whitewater
00 CJ Jackson	DB	6-0	159	Fr.	Milwaukee, Wis.	Milwaukee Academy of Science	
00 Antoine Jarrett	DB	6-2	170	Fr.	Janesville, Wis.	Parker HS	
00 Jameson Jean	DB	5-10	180	Fr.	Miami, Fla.	Lake Mary HS	
00 Tanner Johnson	OL	6-4	290	Fr.	Greendale, Wis.	Greendale HS	
00 Lex Korti	RB	5-7	165	Fr.	Brooklyn Park, Minn.	Fridley HS	
00 Joel Lacy	RB	6-1	235	Jr.	New London, Iowa	New London HS	Ellsworth CC
00 Safdar McCrary	DB	6-2	215	So.	Oakland, Calif.	SFA Academy	
00 Nasir McKenzie	RB	5-9	170	Fr.	Arlington Heights, Ill.	Hersey HS	
00 Randy Moore	WR	5-9	155	Fr.	Milwaukee, Wis.	Milwaukee Academy of Science	
00 Brandon Morales	OL	6-2	302	So.	Burnsville, Minn.	Burnsville HS	SMSU
00 Caden Nolte	OL	6-2	300	Jr.	Chatfield, Minn.	Chatfield HS	Iowa Central CC
00 EJ Previlma	WR	5-11	170	Fr.	West Palm Beach, Fla.	Jensen Beach HS	
00 Jaylon Washington	RB	5-7	175	Jr.	St. Paul, Minn.	Tartan HS	Iowa Central CC
00 Jake Weigel	WR	5-9	160	Fr.	Eau Claire, Wis.	Memorial HS	
00 Ty Williams	WR	5-11	170	Fr.	Waukesha, Wis.	Waukesha South HS	
00 Steve Young	RB	5-11	190	Fr.	Madison, Wis.	Madison Memorial HS	
